model,income_val,income_label,global_threshold,bracket_threshold,sens_at_bracket,spec_at_bracket,n,n_copd,actual_prev
Logistic Regression,1,<$10k,0.4857772389750428,0.7548233582462532,0.7607542722451385,0.7573065232639701,10251,1697,16.554482489513216
Logistic Regression,2,$10–15k,0.4857772389750428,0.8025174715869068,0.687980574666127,0.7695123391191404,10940,2471,22.586837294332724
Logistic Regression,3,$15–20k,0.4857772389750428,0.6918557812931567,0.759813447337738,0.7069795427196149,14207,2573,18.110790455409305
Logistic Regression,4,$20–25k,0.4857772389750428,0.6005618661412784,0.8135026737967914,0.657827550191482,20226,2992,14.792840897854248
Logistic Regression,5,$25–35k,0.4857772389750428,0.6146551028338175,0.7306390603225165,0.7528999190720259,42093,5023,11.933100515525148
Logistic Regression,6,$35–50k,0.4857772389750428,0.5091893662450772,0.7694696607740086,0.7141679425273819,46641,4186,8.974936214918205
Logistic Regression,7,$50–75k,0.4857772389750428,0.4507298510588115,0.7501249375312344,0.7407629754952791,58971,4002,6.7863865289718674
Logistic Regression,8,$75–100k,0.4857772389750428,0.35654282259379244,0.7800085433575396,0.720235764931054,48319,2341,4.84488503487241
Logistic Regression,9,$100–150k,0.4857772389750428,0.2959655110859882,0.7589182968929804,0.745953858524215,50241,1738,3.459326048446488
Logistic Regression,10,$150–200k,0.4857772389750428,0.2755982045255272,0.6727605118829981,0.797223486572599,22517,547,2.429275658391438
Logistic Regression,11,>$200k,0.4857772389750428,0.17671357454341063,0.801762114537445,0.7303527160440134,23447,454,1.9362818270994158
Random Forest,1,<$10k,0.4797394480339432,0.6606414364738344,0.8049499116087213,0.7525134440028057,10251,1697,16.554482489513216
Random Forest,2,$10–15k,0.4797394480339432,0.7238285779957729,0.7774180493727236,0.7190931633014523,10940,2471,22.586837294332724
Random Forest,3,$15–20k,0.4797394480339432,0.6578092332435653,0.7893509521958803,0.7035413443355681,14207,2573,18.110790455409305
Random Forest,4,$20–25k,0.4797394480339432,0.6686537448032019,0.7523395721925134,0.7529882789834049,20226,2992,14.792840897854248
Random Forest,5,$25–35k,0.4797394480339432,0.5930764821506896,0.7724467449731236,0.7351497167520906,42093,5023,11.933100515525148
Random Forest,6,$35–50k,0.4797394480339432,0.5150589652072844,0.78786430960344,0.7192085737840066,46641,4186,8.974936214918205
Random Forest,7,$50–75k,0.4797394480339432,0.4771067351696875,0.7566216891554223,0.7522239807891721,58971,4002,6.7863865289718674
Random Forest,8,$75–100k,0.4797394480339432,0.4224215839089599,0.7197778727039726,0.7925094610465875,48319,2341,4.84488503487241
Random Forest,9,$100–150k,0.4797394480339432,0.3311518223157151,0.7341772151898734,0.7904253345153908,50241,1738,3.459326048446488
Random Forest,10,$150–200k,0.4797394480339432,0.20807937996410622,0.7641681901279708,0.7115157032316796,22517,547,2.429275658391438
Random Forest,11,>$200k,0.4797394480339432,0.19950544402861503,0.7929515418502202,0.7539251076414561,23447,454,1.9362818270994158
XGBoost,1,<$10k,0.4714002013206482,0.6209381222724915,0.826163818503241,0.7212999766191256,10251,1697,16.554482489513216
XGBoost,2,$10–15k,0.4714002013206482,0.7271490097045898,0.8195062727640632,0.6875664187035069,10940,2471,22.586837294332724
XGBoost,3,$15–20k,0.4714002013206482,0.6856358647346497,0.7924601632335795,0.7061199931236032,14207,2573,18.110790455409305
XGBoost,4,$20–25k,0.4714002013206482,0.6427814960479736,0.7977941176470589,0.7159104096553325,20226,2992,14.792840897854248
XGBoost,5,$25–35k,0.4714002013206482,0.6180843710899353,0.7567190921759904,0.753655246830321,42093,5023,11.933100515525148
XGBoost,6,$35–50k,0.4714002013206482,0.5401242971420288,0.7582417582417582,0.7546578730420446,46641,4186,8.974936214918205
XGBoost,7,$50–75k,0.4714002013206482,0.42156553268432617,0.7971014492753623,0.7113100110971639,58971,4002,6.7863865289718674
XGBoost,8,$75–100k,0.4714002013206482,0.3934144675731659,0.7270397266125588,0.7880943059724216,48319,2341,4.84488503487241
XGBoost,9,$100–150k,0.4714002013206482,0.2949909567832947,0.7399309551208285,0.7855596561037461,50241,1738,3.459326048446488
XGBoost,10,$150–200k,0.4714002013206482,0.20834851264953613,0.7093235831809872,0.7759672280382339,22517,547,2.429275658391438
XGBoost,11,>$200k,0.4714002013206482,0.15472587943077087,0.7775330396475771,0.7763232288087679,23447,454,1.9362818270994158
