smoker,income,prevalence,n
1,1,27.8197976448882,1966
1,2,35.41555601427877,2118
1,3,29.9111795382885,2354
1,4,23.584387843127626,2784
1,5,20.36828368514651,5216
1,6,17.972346072503765,4569
1,7,14.051707082725983,4601
1,8,12.097519573464274,2983
1,9,9.802581347937352,2377
1,10,12.718618503848928,829
1,11,8.189422446407214,569
2,1,25.55059844803279,756
2,2,25.699011855228076,645
2,3,22.470269658114354,841
2,4,18.013253832476828,1015
2,5,14.59288157223366,1840
2,6,14.343944356277765,1647
2,7,7.73396999384995,1828
2,8,7.616395247794691,1208
2,9,5.01342988279477,1122
2,10,4.501097005113878,460
2,11,3.8102421667867934,338
3,1,19.190792198232646,2114
3,2,24.4983531939861,3005
3,3,21.36475539269339,3798
3,4,17.104166405062358,5596
3,5,15.758145348854491,11647
3,6,12.68324504070165,13442
3,7,9.289483309469801,17125
3,8,7.342675590870061,13396
3,9,5.22802523583928,13340
3,10,4.834871989390891,5587
3,11,4.1385642182295985,5313
4,1,6.315161072506771,4916
4,2,6.4184960556001665,4652
4,3,6.926276546844222,6536
4,4,5.1618447648818515,9833
4,5,4.067339752841959,21383
4,6,3.037997629300592,25004
4,7,2.8710028047676492,33087
4,8,2.386159976492504,28996
4,9,2.074760216888957,31637
4,10,1.3383742786304589,14835
4,11,0.8005843470723106,16371
