feature,importance,importance_norm
_SMOKER3,0.26549811729402506,0.26549811729402506
EMPLOY1,0.2021249464477889,0.2021249464477889
_AGEG5YR,0.15282561940667946,0.15282561940667946
INCOME3,0.07715292716736986,0.07715292716736986
EXERANY2,0.06813726469050099,0.06813726469050099
EDUCA,0.06256728411833858,0.06256728411833858
MARITAL,0.032739469821679336,0.032739469821679336
PERSDOC3,0.025353153521725555,0.025353153521725555
_BMI5CAT,0.024665064943459273,0.024665064943459273
_IMPRACE,0.020345755987937374,0.020345755987937374
DRNKANY6,0.019320477048700015,0.019320477048700015
MEDCOST1,0.015855984020296914,0.015855984020296914
CHECKUP1,0.014112492026723723,0.014112492026723723
SEXVAR,0.01314229093058303,0.01314229093058303
_URBSTAT,0.004053314390509095,0.004053314390509095
HLTHPLN2,0.002105838183682918,0.002105838183682918
